Date;PX_LAST;PX_VOLUME
28.06.2022;137.44;67315328
27.06.2022;141.66;70207908
24.06.2022;141.66;89116837
23.06.2022;138.27;72433768
22.06.2022;135.35;73409234
21.06.2022;135.87;81000488
17.06.2022;131.56;134520290
16.06.2022;130.06;107961508
15.06.2022;135.43;91532972
14.06.2022;132.76;84784326
13.06.2022;131.88;122207099
10.06.2022;137.13;91566637
09.06.2022;142.64;69472976
08.06.2022;147.96;53950201
07.06.2022;148.71;67808150
06.06.2022;146.14;71598380
03.06.2022;145.38;88570289
02.06.2022;151.21;72348055
01.06.2022;148.71;74286635
31.05.2022;148.84;103718416
27.05.2022;149.64;90978503
26.05.2022;143.78;90601548
25.05.2022;140.52;92482696
24.05.2022;140.36;104132746
23.05.2022;143.11;117726265
20.05.2022;137.59;137426125
19.05.2022;137.35;136095640
18.05.2022;140.82;109742890
17.05.2022;149.24;78336254
16.05.2022;145.54;86643781
13.05.2022;147.11;113990852
12.05.2022;142.56;182602041
11.05.2022;146.5;142689825
10.05.2022;154.51;115366736
09.05.2022;152.06;131577921
06.05.2022;157.28;116124647
05.05.2022;156.77;130525275
04.05.2022;166.02;108256503
03.05.2022;159.48;88966526
02.05.2022;157.96;123055265
29.04.2022;157.65;131747571
28.04.2022;163.64;130216792
27.04.2022;156.57;88063191
26.04.2022;156.8;95623240
25.04.2022;162.88;96046376
22.04.2022;161.79;84882424
21.04.2022;166.42;87227768
20.04.2022;167.23;67929814
19.04.2022;167.4;67723833
18.04.2022;165.07;69023941
14.04.2022;165.29;75329376
13.04.2022;170.4;70618925
12.04.2022;167.66;79265181
11.04.2022;165.75;72246706
08.04.2022;170.09;76575508
07.04.2022;172.14;77594650
06.04.2022;171.83;89058782
05.04.2022;175.06;73401786
04.04.2022;178.44;76545983
01.04.2022;174.31;78751328
31.03.2022;174.61;103049285
30.03.2022;177.77;92633154
29.03.2022;178.96;100589440
28.03.2022;175.6;90371916
25.03.2022;174.72;80546156
24.03.2022;174.07;90131418
23.03.2022;170.21;98062674
22.03.2022;168.82;81532007
21.03.2022;165.38;95811352
18.03.2022;163.98;123511692
17.03.2022;160.62;75615376
16.03.2022;159.59;102300157
15.03.2022;155.09;92964302
14.03.2022;150.62;108732111
11.03.2022;154.73;96970102
10.03.2022;158.52;105342033
